iata,icao,name,location,time
AAA,NTGA,Anaa Airport,"Anaa, Tuamotus, French Polynesia",UTC−10:00
AAB,YARY,Arrabury Airport,"Arrabury, Queensland, Australia",UTC+10:00
AAC,HEAR,El Arish International Airport,"El Arish, Egypt",UTC+02:00
AAD,HCAD,Adado Airport,"Adado (Cadaado), Galguduud, Somalia",UTC+03:00
AAE,DABB,Rabah Bitat Airport (Les Salines Airport),"Annaba, Algeria",UTC+01:00
AAF,KAAF,Apalachicola Regional Airport,"Apalachicola, Florida, United States",UTC−05:00
AAG,SSYA,Arapoti Airport,"Arapoti, Paraná, Brazil",UTC−03:00
AAH,EDKA,Merzbrück Airport,"Aachen, North Rhine-Westphalia, Germany",UTC+01:00
AAI,SWRA,Arraias Airport,"Arraias, Tocantins, Brazil",UTC−03:00
AAJ,SMCA,Cayana Airstrip,"Awaradam, Suriname",UTC−03:00
AAK,NGUK,Aranuka Airport,"Aranuka, Kiribati",UTC+12:00
AAL,EKYT,Aalborg Airport,"Aalborg, Denmark",UTC+01:00
AAM,FAMD,Mala Mala Airport,"Mala Mala, South Africa",UTC+02:00
AAN,OMAL,Al Ain International Airport,"Al Ain, United Arab Emirates",UTC+04:00
AAO,SVAN,Anaco Airport,"Anaco, Venezuela",UTC−04:00
AAP,WALS,Aji Pangeran Tumenggung Pranoto International Airport,"Samarinda, East Kalimantan, Indonesia",UTC+08:00
AAQ,URKA,Anapa Airport,"Anapa, Krasnodar Krai, Russia",UTC+03:00
AAR,EKAH,Aarhus Airport,"Aarhus, Denmark",UTC+01:00
AAS,,Apalapsili Airport,"Apalapsili, Indonesia",UTC+09:00
AAT,ZWAT,Altay Airport,"Altay, Xinjiang, China",UTC+08:00
AAU,NSAU,Asau Airport,"Asau, Savai'i Island, Samoa",UTC+13:00
AAV,RPMA,Allah Valley Airport,"Surallah, Philippines",UTC+08:00
AAX,SBAX,Araxá Airport,"Araxá, Minas Gerais, Brazil",UTC−03:00
AAY,OYGD,Al Ghaydah Airport,"Al Ghaydah, Yemen",UTC+03:00
AAZ,MGQZ,Quetzaltenango Airport,"Quetzaltenango, Guatemala",UTC−06:00
ABA,UNAA,Abakan International Airport,"Abakan, Republic of Khakassia, Russia",UTC+07:00
ABB,DNAS,Asaba International Airport,"Asaba, Nigeria",UTC+01:00
ABC,LEAB,Albacete Airport,"Albacete, Castilla-La Mancha, Spain",UTC+01:00
ABD,OIAA,Abadan International Airport,"Abadan, Iran",UTC+03:30
ABE,KABE,Lehigh Valley International Airport,"Allentown, Pennsylvania, United States",UTC−05:00
ABF,NGAB,Abaiang Atoll Airport,"Abaiang, Kiribati",UTC+12:00
ABG,YABI,Abingdon Airport,"Abingdon Downs, Queensland, Australia",UTC+10:00
ABH,YAPH,Alpha Airport,"Alpha, Queensland, Australia",UTC+10:00
ABI,KABI,Abilene Regional Airport,"Abilene, Texas, United States",UTC−06:00
ABJ,DIAP,Port Bouet Airport (Felix Houphouet Boigny Int'l),"Abidjan, Côte d'Ivoire",UTC+00:00
ABK,HAKD,Kabri Dar Airport,"Kebri Dahar, Ethiopia",UTC+03:00
ABL,PAFM,Ambler Airport (FAA: AFM),"Ambler, Alaska, United States",UTC−09:00
ABM,YNPE,Northern Peninsula Airport,"Bamaga, Queensland, Australia",UTC+10:00
ABN,SMBN,Albina Airstrip,"Albina, Suriname",UTC−03:00
ABO,DIAO,Aboisso Airport,"Aboisso, Côte d'Ivoire",UTC+00:00
ABP,,Atkamba Airport,"Atkamba, Papua New Guinea",UTC+10:00
ABQ,KABQ,Albuquerque International Sunport,"Albuquerque, New Mexico, United States",UTC−07:00
ABR,KABR,Aberdeen Regional Airport,"Aberdeen, South Dakota, United States",UTC−06:00
ABS,HEBL,Abu Simbel Airport,"Abu Simbel, Egypt",UTC+02:00
ABT,OEBA,Al-Baha Domestic Airport,"Al Bahah, Saudi Arabia",UTC+03:00
ABU,WATA,Haliwen Airport,"Atambua, Indonesia",UTC+08:00
ABV,DNAA,Nnamdi Azikiwe International Airport,"Abuja, Nigeria",UTC+01:00
ABW,,Abau Airport,"Abau, Papua New Guinea",UTC+10:00
ABX,YMAY,Albury Airport,"Albury, New South Wales, Australia",UTC+10:00
ABY,KABY,Southwest Georgia Regional Airport,"Albany, Georgia, United States",UTC−05:00
ABZ,EGPD,Aberdeen Airport,"Aberdeen, Scotland, United Kingdom",UTC+00:00
ACA,MMAA,General Juan N. Álvarez International Airport,"Acapulco, Guerrero, Mexico",UTC−06:00
ACB,KACB,Antrim County Airport,"Bellaire, Michigan, United States",UTC−05:00
ACC,DGAA,Kotoka International Airport,"Accra, Ghana",UTC+00:00
ACD,SKAD,Alcides Fernández Airport,"Acandí, Colombia",UTC−05:00
ACE,GCRR,Lanzarote Airport,"Lanzarote, Canary Islands, Spain",UTC+00:00
ACH,LSZR,St. Gallen–Altenrhein Airport,"Altenrhein, Switzerland",UTC+01:00
ACI,EGJA,Alderney Airport,"Alderney, Channel Islands, United Kingdom",UTC+00:00
ACJ,VCCA,Anuradhapura Airport,"Anuradhapura, Sri Lanka",UTC+05:30
ACK,KACK,Nantucket Memorial Airport,"Nantucket, Massachusetts, United States",UTC−05:00
ACL,,Aguaclara Airport,"Aguaclara, Colombia",UTC−05:00
ACM,,Arica Airport,"Arica, Colombia",UTC−05:00
ACN,MMCC,Ciudad Acuña International Airport,"Ciudad Acuña, Coahuila, Mexico",UTC−06:00
ACP,OITM,Sahand Airport,"Maragheh, Iran",UTC+03:30
ACR,SKAC,Araracuara Airport,"Araracuara, Colombia",UTC−05:00
ACS,UNKS,Achinsk Airport,"Achinsk, Krasnoyarsk Krai, Russia",UTC+07:00
ACT,KACT,Waco Regional Airport,"Waco, Texas, United States",UTC−06:00
ACU,,Achutupo Airport,"Achutupo, Panama",UTC−05:00
ACV,KACV,Arcata-Eureka Airport,"Eureka / Arcata, California, United States",UTC−08:00
ACX,ZUYI,Xingyi Wanfenglin Airport,"Xingyi, Guizhou, China",UTC+08:00
ACY,KACY,Atlantic City International Airport,"Atlantic City, New Jersey, United States",UTC−05:00
ACZ,OIZB,Zabol Airport,"Zabol, Iran",UTC+03:30
ADA,LTAF,Adana Şakirpaşa Airport,"Adana, Turkey",UTC+03:00
ADB,LTBJ,Adnan Menderes Airport,"İzmir, Turkey",UTC+03:00
ADC,AYAN,Andakombe Airport,"Andakombe, Papua New Guinea",UTC+10:00
ADD,HAAB,Bole International Airport,"Addis Ababa, Ethiopia",UTC+03:00
ADE,OYAA,Aden International Airport,"Aden, Yemen",UTC+03:00
ADF,LTCP,Adıyaman Airport,"Adıyaman, Turkey",UTC+03:00
ADG,KADG,Lenawee County Airport,"Adrian, Michigan, United States",UTC−05:00
ADH,UEEA,Aldan Airport,"Aldan, Yakutia, Russia",UTC+09:00
ADI,FYAR,Arandis Airport,"Arandis, Namibia",UTC+01:00
ADJ,OJAM,Amman Civil Airport (Marka International Airport),"Amman, Jordan",UTC+02:00
ADK,PADK,Adak Airport,"Adak Island, Alaska, United States",UTC−10:00
ADL,YPAD,Adelaide Airport,"Adelaide, South Australia, Australia",UTC+09:30
ADM,KADM,Ardmore Municipal Airport,"Ardmore, Oklahoma, United States",UTC−06:00
ADN,SKAN,Andes Airport,"Andes, Colombia",UTC−05:00
ADO,YAMK,Andamooka Airport,"Andamooka, South Australia, Australia",UTC+09:30
ADP,VCCG,Ampara Airport,"Ampara, Sri Lanka",UTC+05:30
ADQ,PADQ,Kodiak Airport,"Kodiak, Alaska, United States",UTC−09:00
ADR,KPHH,Robert F. Swinnie Airport (FAA: PHH),"Andrews, South Carolina, United States",UTC−05:00
ADS,KADS,Addison Airport,"Dallas, Texas, United States",UTC−06:00
ADT,KADH,Ada Municipal Airport (FAA: ADH),"Ada, Oklahoma, United States",UTC−06:00
ADU,OITL,Ardabil Airport,"Ardabil, Iran",UTC+03:30
ADV,,Ed Daein Airport,"Ed Daein, Sudan",UTC+03:00
ADW,KADW,Andrews Field (Andrews Air Force Base),"Camp Springs, Maryland, United States",UTC−05:00
ADX,EGQL,Leuchars Station (formerly RAF Leuchars),"St Andrews, Scotland, United Kingdom",UTC+00:00
ADY,FAAL,Alldays Airport,"Alldays, South Africa",UTC+02:00
ADZ,SKSP,Gustavo Rojas Pinilla International Airport,"San Andres Island, Colombia",UTC−05:00
AEA,NGTB,Abemama Atoll Airport,"Abemama Atoll, Kiribati",UTC+12:00
AEB,ZGBS,Baise Bama Airport,"Baise, Guangxi, China",UTC+08:00
AEE,,Adareil Airport[1],"Adareil, South Sudan",UTC+03:00
AEG,WIME,Aek Godang Airport,"Padang Sidempuan, Indonesia",UTC+07:00
AEH,FTTC,Abéché Airport,"Abéché, Chad",UTC+01:00
AEK,AYAX,Aseki Airport,"Aseki, Papua New Guinea",UTC+10:00
AEL,KAEL,Albert Lea Municipal Airport,"Albert Lea, Minnesota, United States",UTC−06:00
AEM,UHTG,Amgu Airport,"Amgu, Primorsky Krai, Russia",UTC+10:00
AEO,GQNA,Aioun el Atrouss Airport,"Aioun el Atrouss, Mauritania",UTC+00:00
AEP,SABE,Jorge Newbery Airpark,"Buenos Aires, Argentina",UTC−03:00
AEQ,,Ar Horqin Airport,"Ar Horqin Banner, China",UTC+08:00
AER,URSS,Sochi International Airport,"Sochi, Krasnodar Krai, Russia",UTC+03:00
AES,ENAL,"Ålesund Airport, Vigra","Ålesund, Norway",UTC+01:00
AET,PFAL,Allakaket Airport (FAA: 6A8),"Allakaket, Alaska, United States",UTC−09:00
AEU,OIBA,Abu Musa Airport[1],"Abu Musa Island, Iran",UTC+03:30
AEX,KAEX,Alexandria International Airport,"Alexandria, Louisiana, United States",UTC−06:00
AEY,BIAR,Akureyri Airport,"Akureyri, Iceland",UTC+00:00
AFA,SAMR,San Rafael Airport,"San Rafael, Mendoza, Argentina",UTC−03:00
AFD,FAPA,Port Alfred Airport,"Port Alfred, South Africa",UTC+02:00
AFF,KAFF,United States Air Force Academy Airfield,"Colorado Springs, Colorado, United States",UTC−07:00
AFI,SKAM,Amalfi Airport,"Amalfi, Colombia",UTC−05:00
AFK,,Kondavattavan Tank Seaplane Base[1],"Ampara, Sri Lanka",UTC+05:30
AFL,SBAT,Alta Floresta Airport,"Alta Floresta, Mato Grosso, Brazil",UTC−04:00
AFN,KAFN,Jaffrey Airport–Silver Ranch,"Jaffrey, New Hampshire, United States",UTC−05:00
AFO,KAFO,Afton Municipal Airport,"Afton, Wyoming, United States",UTC−07:00
AFR,AYAF,Afore Airstrip,"Afore, Papua New Guinea",UTC+10:00
AFS,UTSN,Zarafshan Airport,"Zarafshan, Uzbekistan",UTC+05:00
AFT,AGAF,Afutara Airport,"Afutara, Malaita, Solomon Islands",UTC+11:00
AFW,KAFW,Fort Worth Alliance Airport,"Fort Worth, Texas, United States",UTC−06:00
AFY,LTAH,Afyon Airport,"Afyon, Turkey",UTC+03:00
AFZ,OIMS,Sabzevar Airport[1],"Sabzevar, Iran",UTC+03:30
AGA,GMAD,Agadir–Al Massira Airport,"Agadir, Morocco",UTC+00:00
AGB,EDMA,Augsburg Airport,"Augsburg, Bavaria, Germany",UTC+01:00
AGC,KAGC,Allegheny County Airport,"Pittsburgh, Pennsylvania, United States",UTC−05:00
AGD,WASG,Anggi Airport,"Anggi, Indonesia",UTC+09:00
AGE,EDWG,Wangerooge Airfield,"Wangerooge, Lower Saxony, Germany",UTC+01:00
AGF,LFBA,Agen La Garenne Airport,"Agen, Aquitaine, France",UTC+01:00
AGG,,Angoram Airport,"Angoram, Papua New Guinea",UTC+10:00
AGH,ESTA,Ängelholm–Helsingborg Airport (former ICAO: ESDB),"Ängelholm, Sweden",UTC+01:00
AGI,SMWA,Wageningen Airstrip,"Wageningen, Suriname",UTC−03:00
AGJ,RORA,Aguni Airport,"Aguni, Okinawa, Japan",UTC+09:00
AGK,,Kagua Airport,"Kagua, Papua New Guinea",UTC+10:00
AGL,AYWG,Wanigela Airport,"Wanigela, Papua New Guinea",UTC+10:00
AGN,PAGN,Angoon Seaplane Base,"Angoon, Alaska, United States",UTC−09:00
AGO,KAGO,Magnolia Municipal Airport,"Magnolia, Arkansas, United States",UTC−06:00
AGP,LEMG,Málaga Airport,"Málaga, Andalusia, Spain",UTC+01:00
AGQ,LGAG,Agrinion Airport,"Agrinion, Greece",UTC+02:00
AGR,VIAG,Agra Airport,"Agra, Uttar Pradesh, India",UTC+05:30
AGS,KAGS,Augusta Regional Airport at Bush Field,"Augusta, Georgia, United States",UTC−05:00
AGT,SGES,Guaraní International Airport,"Ciudad del Este, Paraguay",UTC−04:00
AGU,MMAS,Lic. Jesús Terán Peredo International Airport,"Aguascalientes, Aguascalientes, Mexico",UTC−06:00
AGV,SVAC,Oswaldo Guevara Mujica Airport,"Acarigua, Venezuela",UTC−04:00
AGW,,Agnew Airport,"Agnew, Queensland, Australia",UTC+10:00
AGX,VOAT,Agatti Aerodrome,"Agatti Island, Lakshadweep, India",UTC+05:30
AGZ,FAAG,Aggeneys Airport,"Aggeneys, South Africa",UTC+02:00
AHB,OEAB,Abha Regional Airport,"Abha, Saudi Arabia",UTC+03:00
AHC,KAHC,Amedee Army Airfield,"Herlong, California, United States",UTC−08:00
AHD,,Ardmore Downtown Executive Airport (FAA: 1F0),"Ardmore, Oklahoma, United States",UTC−06:00
AHE,NTHE,Ahe Airport,"Ahe, Tuamotus, French Polynesia",UTC−10:00
AHF,,Arapahoe Municipal Airport (FAA: 37V),"Arapahoe, Nebraska, United States",UTC−06:00
AHH,KAHH,Amery Municipal Airport,"Amery, Wisconsin, United States",UTC−06:00
AHI,WAPA,Amahai Airport,"Amahai, Indonesia",UTC+09:00
AHJ,ZUHY,Hongyuan Airport,"Hongyuan, Sichuan, China",UTC+08:00
AHL,SYAH,Aishalton Airport,"Aishalton, Guyana",UTC−04:00
AHM,,Ashland Municipal Airport[1] (FAA: S03),"Ashland, Oregon, United States",UTC−08:00
AHN,KAHN,Athens Ben Epps Airport,"Athens, Georgia, United States",UTC−05:00
AHO,LIEA,Alghero-Fertilia Airport,"Alghero, Sardinia, Italy",UTC+01:00
AHS,MHAH,Ahuas Airport,"Ahuas, Honduras",UTC−06:00
AHU,GMTA,Cherif Al Idrissi Airport,"Al Hoceima, Morocco",UTC+00:00
AHW,,Saih Rawl Airport[1],"Saih Rawl, Oman",UTC+04:00
AHY,,Ambatolahy Airport,"Ambatolahy, Madagascar",UTC+03:00
AHZ,LFHU,Alpe d'Huez Airport,"Alpe d'Huez, Rhône-Alpes, France",UTC+01:00
AIA,KAIA,Alliance Municipal Airport,"Alliance, Nebraska, United States",UTC−07:00
AIC,,Ailinglaplap Airok Airport,"Airok, Ailinglaplap Atoll, Marshall Islands",UTC+12:00
AID,KAID,Anderson Municipal Airport (Darlington Field),"Anderson, Indiana, United States",UTC−05:00
AIE,AYAO,Aiome Airport,"Aiome, Papua New Guinea",UTC+10:00
AIF,SNAX,Assis Airport (former ICAO: SBAS),"Assis, São Paulo, Brazil",UTC−03:00
AIG,FEFY,Yalinga Airport,"Yalinga, Central African Republic",UTC+01:00
AIH,AYAK,Aiambak Airport,"Aiambak, Papua New Guinea",UTC+10:00
AII,HDAS,Ali-Sabieh Airport,"Ali Sabieh, Djibouti",UTC+03:00
AIK,KAIK,Aiken Municipal Airport,"Aiken, South Carolina, United States",UTC−05:00
AIL,,Ailigandí Airport,"Ailigandí, Panama",UTC−05:00
AIM,,Ailuk Airport,"Ailuk Atoll, Marshall Islands",UTC+12:00
AIN,PAWI,Wainwright Airport (FAA: AWI),"Fort Wainwright, Alaska, United States",UTC−09:00
AIO,KAIO,Atlantic Municipal Airport,"Atlantic, Iowa, United States",UTC−06:00
AIP,VIAX,Adampur Airport,"Jalandhar, Punjab, India",UTC+05:30
AIR,SSOU,Aripuanã Airport,"Aripuanã, Mato Grosso, Brazil",UTC−04:00
AIS,NGTR,Arorae Island Airport,"Arorae Island, Kiribati",UTC+12:00
AIT,NCAI,Aitutaki Airport,"Aitutaki, Cook Islands",UTC−10:00
AIU,NCAT,Enua Airport,"Atiu Island, Cook Islands",UTC−10:00
